pair_name,disease1_name,disease1_id,disease2_name,disease2_id,RR_score
death_sudden & mycobacterium_infections,death_sudden,79,mycobacterium_infections,196,26.274622
metabolism_inborn_errors & peripheral_nervous_system_diseases,metabolism_inborn_errors,184,peripheral_nervous_system_diseases,239,25.758897
immunologic_deficiency_syndromes & leukemia,immunologic_deficiency_syndromes,141,leukemia,154,25.076464
hereditary_sensory_and_motor_neuropathy & spastic_paraplegia_hereditary,hereditary_sensory_and_motor_neuropathy,131,spastic_paraplegia_hereditary,270,24.796762
charcot_marie_tooth_disease & spastic_paraplegia_hereditary,charcot_marie_tooth_disease,60,spastic_paraplegia_hereditary,270,24.796762
amino_acid_metabolism_inborn_errors & polyneuropathies,amino_acid_metabolism_inborn_errors,7,polyneuropathies,242,24.424842
immunologic_deficiency_syndromes & lymphoma,immunologic_deficiency_syndromes,141,lymphoma,172,23.875652
amino_acid_metabolism_inborn_errors & precursor_cell_lymphoblastic_leukemia_lymphoma,amino_acid_metabolism_inborn_errors,7,precursor_cell_lymphoblastic_leukemia_lymphoma,243,23.869158
hemorrhagic_disorders & leukemia_myeloid_acute,hemorrhagic_disorders,129,leukemia_myeloid_acute,159,23.70314
intestinal_neoplasms & neoplasms_connective_and_soft_tissue,intestinal_neoplasms,148,neoplasms_connective_and_soft_tissue,203,23.423186
aneurysm & ectodermal_dysplasia,aneurysm,12,ectodermal_dysplasia,95,23.27926
hypopigmentation & hypotrichosis,hypopigmentation,137,hypotrichosis,139,22.796139
muscular_diseases & mycobacterium_infections,muscular_diseases,191,mycobacterium_infections,196,22.744538
colorectal_neoplasms & intestinal_neoplasms,colorectal_neoplasms,68,intestinal_neoplasms,148,22.651517
liver_cirrhosis & metabolism_inborn_errors,liver_cirrhosis,164,metabolism_inborn_errors,184,22.603806
liver_cirrhosis_biliary & metabolism_inborn_errors,liver_cirrhosis_biliary,165,metabolism_inborn_errors,184,22.603806
intellectual_disability & spinocerebellar_degenerations,intellectual_disability,146,spinocerebellar_degenerations,274,22.234328
crohn_disease & lysosomal_storage_diseases,crohn_disease,77,lysosomal_storage_diseases,175,22.22
charcot_marie_tooth_disease & spinocerebellar_degenerations,charcot_marie_tooth_disease,60,spinocerebellar_degenerations,274,22.173214
hereditary_sensory_and_motor_neuropathy & spinocerebellar_degenerations,hereditary_sensory_and_motor_neuropathy,131,spinocerebellar_degenerations,274,22.173214
breast_diseases & breast_neoplasms,breast_diseases,41,breast_neoplasms,42,21.868161
behcet_syndrome & cerebellar_ataxia,behcet_syndrome,26,cerebellar_ataxia,57,21.828708
demyelinating_diseases & spastic_paraplegia_hereditary,demyelinating_diseases,83,spastic_paraplegia_hereditary,270,21.27585
multiple_sclerosis & spastic_paraplegia_hereditary,multiple_sclerosis,190,spastic_paraplegia_hereditary,270,21.27585
dyskinesias & intellectual_disability,dyskinesias,92,intellectual_disability,146,21.258304
blood_platelet_disorders & myeloproliferative_disorders,blood_platelet_disorders,31,myeloproliferative_disorders,197,20.773933
amyotrophic_lateral_sclerosis & muscular_dystrophies,amyotrophic_lateral_sclerosis,8,muscular_dystrophies,193,20.713675
motor_neuron_disease & muscular_dystrophies,motor_neuron_disease,187,muscular_dystrophies,193,20.713675
ovarian_diseases & polyneuropathies,ovarian_diseases,228,polyneuropathies,242,20.702203
pancreatic_diseases & purine_pyrimidine_metabolism_inborn_errors,pancreatic_diseases,232,purine_pyrimidine_metabolism_inborn_errors,249,20.594978
cranial_nerve_diseases & demyelinating_diseases,cranial_nerve_diseases,75,demyelinating_diseases,83,20.475989
cranial_nerve_diseases & multiple_sclerosis,cranial_nerve_diseases,75,multiple_sclerosis,190,20.475989
lymphoma & precursor_cell_lymphoblastic_leukemia_lymphoma,lymphoma,172,precursor_cell_lymphoblastic_leukemia_lymphoma,243,20.450784
hair_diseases & hypopigmentation,hair_diseases,122,hypopigmentation,137,20.38052
genital_diseases_female & ovarian_neoplasms,genital_diseases_female,110,ovarian_neoplasms,229,20.306566
breast_diseases & neuroendocrine_tumors,breast_diseases,41,neuroendocrine_tumors,216,20.283121
exophthalmos & graves_disease,exophthalmos,100,graves_disease,121,20.161514
metabolism_inborn_errors & vascular_diseases,metabolism_inborn_errors,184,vascular_diseases,295,20.088699
anemia_aplastic & lymphoma,anemia_aplastic,10,lymphoma,172,19.629895
macular_degeneration & uveal_diseases,macular_degeneration,177,uveal_diseases,291,19.374584
carbohydrate_metabolism_inborn_errors & neuroendocrine_tumors,carbohydrate_metabolism_inborn_errors,44,neuroendocrine_tumors,216,18.865405
adrenal_gland_diseases & lipidoses,adrenal_gland_diseases,4,lipidoses,163,18.763405
alzheimer_disease & neuroendocrine_tumors,alzheimer_disease,6,neuroendocrine_tumors,216,18.566554
respiratory_tract_diseases & spastic_paraplegia_hereditary,respiratory_tract_diseases,253,spastic_paraplegia_hereditary,270,18.472941
lipid_metabolism_disorders & lipidoses,lipid_metabolism_disorders,161,lipidoses,163,18.41245
anemia_aplastic & immunologic_deficiency_syndromes,anemia_aplastic,10,immunologic_deficiency_syndromes,141,18.219539
abnormalities_multiple & bone_diseases_metabolic,abnormalities_multiple,0,bone_diseases_metabolic,36,18.059569
